Train_Number,Train_Name,Start_Station,Start_Code,Destination_Station,Destination_Code,Departure,Arrival
12548,Agra Super Fast,Ahmedabad Junction,ADI,Agra Fort,AF,22:08,01:17
19411,Ajmer Intercity,Ahmedabad Junction,ADI,Ajmer Junction,AII,14:38,13:25
9650,Ajmer Special,Ahmedabad Junction,ADI,Ajmer Junction,AII,10:40,17:02
19417,Adi Ald Express,Ahmedabad Junction,ADI,Allahabad Junction,ALD,12:40,02:11
9427,Adi Ald Special,Ahmedabad Junction,ADI,Allahabad Junction,ALD,12:42,06:17
9429,Allahabad Special,Ahmedabad Junction,ADI,Allahabad Junction,ALD,03:29,17:50
22928,Lok Shakti Express,Ahmedabad Junction,ADI,Bandra Terminus,BDTS,01:30,15:12
19144,Lok Shakti Express,Ahmedabad Junction,ADI,Bandra Terminus,BDTS,04:59,03:08
14804,Adi Bgkt Express,Ahmedabad Junction,ADI,Bhagat Ki Kothi,BGKT,12:39,14:41
4804,Adi Bgkt Special,Ahmedabad Junction,ADI,Bhagat Ki Kothi,BGKT,10:46,04:52
19110,Gujarat Queen,Ahmedabad Junction,ADI,Valsad,BL,20:15,01:21
19034,Gujarat Queen,Ahmedabad Junction,ADI,Valsad,BL,23:13,16:07
9421,Adi Bme Ac Special,Ahmedabad Junction,ADI,Barmer,BME,15:27,20:07
19130,Adi Brc Intercity,Ahmedabad Junction,ADI,Vadodara Junction,BRC,15:26,13:32
19407,Adi Varanasi Express,Ahmedabad Junction,ADI,Varanasi Junction,BSBS,08:23,12:13
19167,Sabarmati Express,Ahmedabad Junction,ADI,Varanasi Junction,BSBS,03:48,19:00
2713,Adi Bza Superfast Special,Ahmedabad Junction,ADI,Vijayawada Junction,BZA,10:21,00:32
19165,Sabarmati Express,Ahmedabad Junction,ADI,Darbhanga Junction,DBG,10:27,10:00
9417,Adi Dee Premium,Ahmedabad Junction,ADI,Delhi S Rohilla,DEE,11:55,05:23
22919,Delhi Special,Ahmedabad Junction,ADI,Delhi S Rohilla,DEE,19:41,19:01
12915,Ashram Express,Ahmedabad Junction,ADI,Delhi,DLI,01:55,07:36
19409,Gorakhpur Express,Ahmedabad Junction,ADI,Gorakhpur Junction,GKP,17:47,11:03
19031,Haridwar Mail,Ahmedabad Junction,ADI,Haridwar Junction,HW,03:01,00:50
19105,Haridwar Mail,Ahmedabad Junction,ADI,Haridwar Junction,HW,16:52,11:54
12833,Howrah Express,Ahmedabad Junction,ADI,Howrah Junction,HWH,23:45,14:24
